,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
566,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:BLACK,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - PUBLIC HOUS,Shooting murdered:False,Shooting Perpetrator's Age:45-64,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:WHITE HISPANIC,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
567,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:<18,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,1500< sector_no <=2000
568,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
569,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:True,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:F,Shooting Victim's Race:BLACK,1500< sector_no <=2000
570,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:WHITE HISPANIC,Complaint Suspect's Sex:M,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:F,Shooting Victim's Race:BLACK,1500< sector_no <=2000
571,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:M,Shooting Location:PVT HOUSE,Shooting murdered:True,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:WHITE HISPANIC,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE HISPANIC,1500< sector_no <=2000
572,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:M,Shooting Location:PVT HOUSE,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
573,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE-HOUSE,Complaint Suspect's Age:18-24,Complaint Suspect's Race:AMERICAN INDIAN/ALASKAN NATIVE,Complaint Suspect's Sex:F,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:False,Shooting Perpetrator's Age:45-64,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:<18,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,1500< sector_no <=2000
574,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:E,,,,,,,,,1500< sector_no <=2000
575,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:WHITE HISPANIC,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:BLACK,Complaint Victim's Sex:F,Shooting Location:BAR/NIGHT CLUB,Shooting murdered:True,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
