,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
576,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,1500< sector_no <=2000
577,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,PETIT BY CREDIT CARD U",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:F,Shooting Location:PVT HOUSE,Shooting murdered:False,Shooting Perpetrator's Age:45-64,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
578,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,Shooting Location:BAR/NIGHT CLUB,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,1500< sector_no <=2000
579,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:18-24,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,1500< sector_no <=2000
580,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:F,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,1500< sector_no <=2000
581,Failure to Yield Right-of-Way,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:F,Shooting Location:GROCERY/BODEGA,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:WHITE HISPANIC,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE,1500< sector_no <=2000
582,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:M,,,,,,,,,1500< sector_no <=2000
583,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,PETIT BY CREDIT CARD U",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:WHITE,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:ASIAN / PACIFIC ISLANDER,1500< sector_no <=2000
584,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,1500< sector_no <=2000
585,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",RESTAURANT/DINER,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,,,,,,,,1500< sector_no <=2000
586,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"LARCENY,PETIT OF BICYCLE",STREET,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,1500< sector_no <=2000
587,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,Complaint Suspect's Age:45-64,Complaint Suspect's Race:WHITE HISPANIC,Complaint Suspect's Sex:M,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:GROCERY/BODEGA,Shooting murdered:False,,,,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE HISPANIC,1500< sector_no <=2000
588,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,RAPE 1,RESIDENCE - APT. HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:<18,Complaint Victim's Race:BLACK,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:<18,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE HISPANIC,1500< sector_no <=2000
589,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,1500< sector_no <=2000
590,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:BLACK,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:False,,,,Shooting Victim's Age:25-44,Shooting Victim's Sex:F,Shooting Victim's Race:BLACK,1500< sector_no <=2000
591,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:F,Complaint Victim's Age:45-64,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:<18,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
592,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,Shooting Location:PVT HOUSE,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
593,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:65+,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
594,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
595,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,Shooting Location:MULTI DWELL - PUBLIC HOUS,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
596,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",OPEN AREAS (OPEN LOTS),Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:False,,,,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,1500< sector_no <=2000
