,sector laitude,sector longtitude,Collisions_NUMBER OF PERSONS INJURED,Collisions_NUMBER OF PERSONS KILLED,Collisions_NUMBER OF PEDESTRIANS INJURED,Collisions_NUMBER OF PEDESTRIANS KILLED,Collisions_NUMBER OF CYCLIST INJURED,Collisions_NUMBER OF CYCLIST KILLED,Collisions_NUMBER OF MOTORIST INJURED,Collisions_NUMBER OF MOTORIST KILLED,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_CONTRIBUTING FACTOR VEHICLE 2,Collisions_CONTRIBUTING FACTOR VEHICLE 3,Collisions_CONTRIBUTING FACTOR VEHICLE 4,Collisions_CONTRIBUTING FACTOR VEHICLE 5,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Collisions_VEHICLE TYPE CODE 4,Collisions_VEHICLE TYPE CODE 5
331,40.662739,-73.95760078,0.338706851235325,0.0007008936393902226,0.05887506570877869,0.0005256702295426669,0.03697213947783424,0.0,0.2400560714911512,0.00017522340984755565,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,Sedan,Sedan
332,40.662739,-73.94643592,0.36357716518341654,0.001519426958975472,0.08487084870848709,0.0010853049706967658,0.032125027132624266,0.00021706099413935315,0.24441067940091166,0.00021706099413935315,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Fatigued/Drowsy,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
333,40.662739,-73.93527106,0.38972680705748436,0.0007114399544678429,0.08864541832669323,0.00042686397268070576,0.02504268639726807,0.0001422879908935686,0.2743312464428002,0.0001422879908935686,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Driver Inattention/Distraction,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
334,40.662739,-73.9241062,0.3996633626332523,0.0013091453151299795,0.08097998877875444,0.0005610622779128483,0.024686740228165326,0.0,0.2911913222367683,0.0007480830372171312,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,Sedan,Sedan,Sedan
335,40.662739,-73.91294134,0.3865927419354839,0.0012600806451612903,0.09349798387096774,0.0005040322580645161,0.03024193548387097,0.00025201612903225806,0.2620967741935484,0.0005040322580645161,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Passing Too Closely,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
336,40.662739,-73.90177648000001,0.41105239982386615,0.001100836635843241,0.0662557781201849,0.0006603565925599824,0.025753907109839314,0.0,0.31432973805855163,0.00044023772837332157,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
337,40.662739,-73.89061162,0.396357328707719,0.0005782017924255566,0.06822781150621567,0.0005782017924255566,0.03006649320612894,0.0,0.2963284186180977,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
338,40.662739,-73.87944676000001,0.4467895362663496,0.0014863258026159335,0.06510107015457789,0.0008917954815695601,0.01872770511296076,0.00029726516052318666,0.36028537455410226,0.00029726516052318666,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,Sedan,Sedan,Sedan
339,40.662739,-73.8682819,0.3931568754034861,0.0012911555842479018,0.07036797934151065,0.0006455777921239509,0.010974822466107165,0.0,0.31116849580374434,0.0006455777921239509,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
340,40.662739,-73.85711704,0.37142857142857144,0.0006968641114982578,0.03623693379790941,0.0,0.006968641114982578,0.0,0.32682926829268294,0.0006968641114982578,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
341,40.662739,-73.84595218,0.3378426486294055,0.001067995728017088,0.025275898896404414,0.000711997152011392,0.008187967248131008,0.0,0.3040227839088644,0.000355998576005696,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Following Too Closely,Following Too Closely,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
342,40.662739,-73.83478732,0.3445427728613569,0.0017699115044247787,0.008259587020648967,0.0005899705014749262,0.004129793510324484,0.0,0.3321533923303835,0.0011799410029498525,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Pavement Slippery,Fatigued/Drowsy,Sedan,Sedan,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE
343,40.662739,-73.82362246000001,0.39435182034705685,0.002041510717931269,0.017693092888737667,0.0,0.001701258931609391,0.0,0.37495746852670975,0.002041510717931269,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Following Too Closely,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
344,40.662739,-73.8124576,0.3273495248152059,0.0031678986272439284,0.011351636747624076,0.0015839493136219642,0.0015839493136219642,0.0,0.31388595564941923,0.0015839493136219642,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Following Too Closely,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
